ds,y
1/1/2013,37
1/2/2013,41
1/3/2013,102
1/4/2013,73
1/5/2013,56
1/6/2013,41
1/7/2013,45
1/8/2013,55
1/9/2013,38
1/10/2013,27
1/11/2013,
1/12/2013,
1/13/2013,29
1/14/2013,34
1/15/2013,68
1/16/2013,88
1/17/2013,53
1/18/2013,63
1/19/2013,119
1/20/2013,71
1/21/2013,19
1/22/2013,18
1/23/2013,49
1/24/2013,75
1/25/2013,48
1/26/2013,58
1/27/2013,63
1/28/2013,55
1/29/2013,143
1/30/2013,76
1/31/2013,82
2/1/2013,91
2/2/2013,69
2/3/2013,29
2/4/2013,89
2/5/2013,75
2/6/2013,40
2/7/2013,137
2/8/2013,37
2/9/2013,72
2/10/2013,
2/11/2013,100
2/12/2013,87
2/13/2013,118
2/14/2013,105
2/15/2013,39
2/16/2013,61
2/17/2013,
2/18/2013,72
2/19/2013,48
2/20/2013,43
2/21/2013,83
2/22/2013,102
2/23/2013,48
2/24/2013,139
2/25/2013,68
2/26/2013,49
2/27/2013,89
2/28/2013,70
3/1/2013,36
3/2/2013,100
3/3/2013,56
3/4/2013,62
3/5/2013,80
3/6/2013,162
3/7/2013,74
3/8/2013,48
3/9/2013,74
3/10/2013,
3/11/2013,
3/12/2013,30
3/13/2013,36
3/14/2013,29
3/15/2013,53
3/16/2013,71
3/17/2013,32
3/18/2013,80
3/19/2013,401
3/20/2013,358
3/21/2013,59
3/22/2013,519
3/23/2013,396
3/24/2013,5
3/25/2013,50
3/26/2013,163
3/27/2013,63
3/28/2013,50
3/29/2013,133
3/30/2013,45
3/31/2013,35
4/1/2013,61
4/2/2013,124
4/3/2013,36
4/4/2013,63
4/5/2013,16
4/6/2013,
4/7/2013,21
4/8/2013,35
4/9/2013,32
4/10/2013,44
4/11/2013,74
4/12/2013,
4/13/2013,40
4/14/2013,78
4/15/2013,190
4/16/2013,86
4/17/2013,61
4/18/2013,86
4/19/2013,505
4/20/2013,
4/21/2013,516
4/22/2013,68
4/23/2013,40
4/24/2013,34
4/25/2013,66
4/26/2013,58
4/27/2013,70
4/28/2013,360
4/29/2013,82
4/30/2013,51
5/1/2013,33
5/2/2013,67
5/3/2013,99
5/4/2013,
5/5/2013,
5/6/2013,29
5/7/2013,68
5/8/2013,46
5/9/2013,73
5/10/2013,
5/11/2013,54
5/12/2013,137
5/13/2013,63
5/14/2013,62
5/15/2013,29
5/16/2013,38
5/17/2013,
5/18/2013,81
5/19/2013,43
5/20/2013,42
5/21/2013,32
5/22/2013,95
5/23/2013,363
5/24/2013,253
5/25/2013,170
5/26/2013,35
5/27/2013,50
5/28/2013,82
5/29/2013,33
5/30/2013,82
5/31/2013,69
6/1/2013,38
6/2/2013,80
6/3/2013,31
6/4/2013,96
6/5/2013,31
6/6/2013,29
6/7/2013,130
6/8/2013,66
6/9/2013,100
6/10/2013,66
6/11/2013,51
6/12/2013,54
6/13/2013,51
6/14/2013,86
6/15/2013,
6/16/2013,38
6/17/2013,118
6/18/2013,27
6/19/2013,28
6/20/2013,54
6/21/2013,76
6/22/2013,71
6/23/2013,
6/24/2013,
6/25/2013,
6/26/2013,
6/27/2013,
6/28/2013,
6/29/2013,68
6/30/2013,8
7/1/2013,65
7/2/2013,58
7/3/2013,84
7/4/2013,114
7/5/2013,40
7/6/2013,52
7/7/2013,61
7/8/2013,35
7/9/2013,51
7/10/2013,28
7/11/2013,51
7/12/2013,31
7/13/2013,9
7/14/2013,8
7/15/2013,41
7/16/2013,136
7/17/2013,40
7/18/2013,96
7/19/2013,150
7/20/2013,23
7/21/2013,31
7/22/2013,35
7/23/2013,44
7/24/2013,62
7/25/2013,53
7/26/2013,41
7/27/2013,54
7/28/2013,44
7/29/2013,158
7/30/2013,990
7/31/2013,48
8/1/2013,76
8/2/2013,6
8/3/2013,
8/4/2013,
8/5/2013,16
8/6/2013,19
8/7/2013,3
8/8/2013,
8/9/2013,
8/10/2013,
8/11/2013,
8/12/2013,5
8/13/2013,12
8/14/2013,13
8/15/2013,29
8/16/2013,19
8/17/2013,25
8/18/2013,7
8/19/2013,45
8/20/2013,23
8/21/2013,23
8/22/2013,35
8/23/2013,24
8/24/2013,
8/25/2013,7
8/26/2013,34
8/27/2013,33
8/28/2013,22
8/29/2013,63
8/30/2013,
8/31/2013,
9/1/2013,
9/2/2013,13
9/3/2013,41
9/4/2013,40
9/5/2013,15
9/6/2013,40
9/7/2013,
9/8/2013,
9/9/2013,20
9/10/2013,100
9/11/2013,54
9/12/2013,57
9/13/2013,56
9/14/2013,48
9/15/2013,22
9/16/2013,25
9/17/2013,17
9/18/2013,11
9/19/2013,23
9/20/2013,44
9/21/2013,
9/22/2013,
9/23/2013,24
9/24/2013,69
9/25/2013,765
9/26/2013,38
9/27/2013,81
9/28/2013,102
9/29/2013,74
9/30/2013,34
10/1/2013,46
10/2/2013,36
10/3/2013,78
